X,Y
120.7391,15.5931
120.7391,15.5931
108.8318,59.4615
120.7391,15.5931
77.5772,12.9791
120.7391,15.5931
120.7391,15.5931
120.7391,15.5931
107.59743,-6.902598
-99.1329,19.4319
-99.1329,19.4319
-0.1271,51.5063
-58.3735,-34.6085
-77.0212,-12.0436
14.7545,47.6965
17.5514,62.1984
67.0822,24.9056
-47.9287,-15.7785
-70.6479,-33.463
82.7948,21.7866
3.39583,6.45306
-3.7058,40.4203
114.4017,3.9451
2.3412,48.8569
4.4768,50.501
4.4768,50.501
82.7948,21.7866
82.7948,21.7866
82.7948,21.7866
82.7948,21.7866
101.67,3.12482
151.207,-33.8671
120.7391,15.5931
8.4445,46.813
-47.9287,-15.7785
-47.9287,-15.7785
120.7391,15.5931
114.4017,3.9451
-47.9287,-15.7785
8.4445,46.813
-0.1271,51.5063
-47.9287,-15.7785
-47.9287,-15.7785
-3.7058,40.4203
21.8456,39.0724
-99.1329,19.4319
-66.8983,10.496
-70.6479,-33.463
-0.1271,51.5063
82.7948,21.7866
-69.9405,18.4867
4.4768,50.501
-58.3735,-34.6085
72.8826,19.0728
12.4958,41.9031
37.9039,-0.0244
-47.9287,-15.7785
17.5514,62.1984
-77.0212,-12.0436
-78.0958,-1.7899
69.3597,30.4419
-90.5249,14.618
108.8318,59.4615
12.6654,64.5565
8.6742,9.0846
2.3412,48.8569
133.3931,-24.9162
120.7391,15.5931
127.8502,36.4482
14.7545,47.6965
103.8277,1.3656
8.4445,46.813
114.4017,3.9451
170.3666,-43.5877
77.5772,12.9791
72.8826,19.0728
12.4958,41.9031
12.4958,41.9031
107.59743,-6.902598
3.39583,6.45306
77.5772,12.9791
-58.3735,-34.6085
-77.0212,-12.0436
-78.0958,-1.7899
-78.0958,-1.7899
72.8826,19.0728
-66.8983,10.496
-70.6479,-33.463
-70.6479,-33.463
-99.1329,19.4319
-58.3735,-34.6085
12.4958,41.9031
72.8826,19.0728
-47.9287,-15.7785
-3.7058,40.4203
21.8456,39.0724
-99.1329,19.4319
-66.8983,10.496
-70.6479,-33.463
-0.1271,51.5063
133.3931,-24.9162
82.7948,21.7866
-69.9405,18.4867
67.0822,24.9056
4.4768,50.501
-58.3735,-34.6085
12.4958,41.9031
37.9039,-0.0244
17.5514,62.1984
-77.0212,-12.0436
-78.0958,-1.7899
69.3597,30.4419
-90.5249,14.618
108.8318,59.4615
12.6654,64.5565
8.6742,9.0846
2.3412,48.8569
133.3931,-24.9162
2.3412,48.8569
120.7391,15.5931
127.8502,36.4482
14.7545,47.6965
-47.9287,-15.7785
-47.9287,-15.7785
-70.6479,-33.463
-0.1271,51.5063
-0.1271,51.5063
-47.9287,-15.7785
-0.1271,51.5063
-0.1271,51.5063
-0.1271,51.5063
-0.1271,51.5063
36.8131,-1.27436
72.8826,19.0728
36.8131,-1.27436
72.8826,19.0728
80.2496,13.0604
72.8826,19.0728
24.9354,60.1695
-47.9287,-15.7785
-47.9287,-15.7785
-47.9287,-15.7785
78.4564,17.3841
-47.9287,-15.7785
-66.8983,10.496
-47.9287,-15.7785
-47.9287,-15.7785
-90.5249,14.618
21.8456,39.0724
-66.8983,10.496
80.2496,13.0604
-70.6479,-33.463
-0.1271,51.5063
-69.9405,18.4867
72.8826,19.0728
4.4768,50.501
-58.3735,-34.6085
12.4958,41.9031
37.9039,-0.0244
17.5514,62.1984
-77.0212,-12.0436
-78.0958,-1.7899
69.3597,30.4419
108.8318,59.4615
69.3597,30.4419
12.6654,64.5565
-90.5249,14.618
8.6742,9.0846
2.3412,48.8569
133.3931,-24.9162
3.39583,6.45306
120.7391,15.5931
127.8502,36.4482
14.7545,47.6965
8.4445,46.813
114.4017,3.9451
82.7948,21.7866
82.7948,21.7866
-0.1271,51.5063
-3.7058,40.4203
-0.1271,51.5063
-0.1271,51.5063
82.7948,21.7866
82.7948,21.7866
82.7948,21.7866
-3.7058,40.4203
-0.1271,51.5063
82.7948,21.7866
-47.9287,-15.7785
82.7948,21.7866
-66.8983,10.496
82.7948,21.7866
82.7948,21.7866
82.7948,21.7866
-70.6479,-33.463
82.7948,21.7866
-3.7058,40.4203
82.7948,21.7866
-3.7058,40.4203
-99.1329,19.4319
-66.8983,10.496
-47.9287,-15.7785
-66.8983,10.496
-3.7058,40.4203
-3.7058,40.4203
82.7948,21.7866
-66.8983,10.496
3.39583,6.45306
-3.7058,40.4203
-3.7058,40.4203
-0.1271,51.5063
-47.9287,-15.7785
82.7948,21.7866
82.7948,21.7866
-3.7058,40.4203
-0.1271,51.5063
-3.7058,40.4203
-3.7058,40.4203
-3.7058,40.4203
-0.1271,51.5063
-66.8983,10.496
-47.9287,-15.7785
-3.7058,40.4203
-47.9287,-15.7785
-0.1271,51.5063
-47.9287,-15.7785
-66.8983,10.496
-3.7058,40.4203
-3.7058,40.4203
-3.7058,40.4203
-47.9287,-15.7785
-0.1271,51.5063
-47.9287,-15.7785
-3.7058,40.4203
-0.1271,51.5063
-3.7058,40.4203
-66.8983,10.496
-66.8983,10.496
-99.1329,19.4319
-3.7058,40.4203
-70.6479,-33.463
-66.8983,10.496
-66.8983,10.496
-66.8983,10.496
-70.6479,-33.463
-99.1329,19.4319
-47.9287,-15.7785
-66.8983,10.496
-3.7058,40.4203
-66.8983,10.496
-3.7058,40.4203
-99.1329,19.4319
-70.6479,-33.463
-3.7058,40.4203
-0.1271,51.5063
-3.7058,40.4203
-99.1329,19.4319
-70.6479,-33.463
12.4958,41.9031
-0.1271,51.5063
-0.1271,51.5063
-99.1329,19.4319
-3.7058,40.4203
-0.1271,51.5063
-0.1271,51.5063
-3.7058,40.4203
-47.9287,-15.7785
-99.1329,19.4319
-70.6479,-33.463
-3.7058,40.4203
-3.7058,40.4203
-3.7058,40.4203
-47.9287,-15.7785
-0.1271,51.5063
21.8456,39.0724
-0.1271,51.5063
-47.9287,-15.7785
-70.6479,-33.463
-66.8983,10.496
-0.1271,51.5063
-70.6479,-33.463
-3.7058,40.4203
-99.1329,19.4319
-3.7058,40.4203
-3.7058,40.4203
-70.6479,-33.463
-3.7058,40.4203
-3.7058,40.4203
-47.9287,-15.7785
-99.1329,19.4319
-70.6479,-33.463
-70.6479,-33.463
-47.9287,-15.7785
-70.6479,-33.463
-99.1329,19.4319
-70.6479,-33.463
-66.8983,10.496
-99.1329,19.4319
67.0822,24.9056
-99.1329,19.4319
-47.9287,-15.7785
-99.1329,19.4319
-99.1329,19.4319
-70.6479,-33.463
-58.3735,-34.6085
-99.1329,19.4319
-58.3735,-34.6085
-70.6479,-33.463
-99.1329,19.4319
-99.1329,19.4319
-99.1329,19.4319
-70.6479,-33.463
-47.9287,-15.7785
-66.8983,10.496
-66.8983,10.496
-66.8983,10.496
-66.8983,10.496
-70.6479,-33.463
-0.1271,51.5063
82.7948,21.7866
3.39583,6.45306
144.963,-37.8143
-3.7058,40.4203
-99.1329,19.4319
-0.1271,51.5063
-47.9287,-15.7785
-3.7058,40.4203
21.8456,39.0724
-99.1329,19.4319
