X,Y
-77.029,38.8991
-77.029,38.8991
-98.309,56.9547
-98.309,56.9547
69.3597,30.4419
103.8277,1.3656
-8.2406,53.4196
-8.2406,53.4196
108.8318,59.4615
108.8318,59.4615
108.8318,59.4615
108.8318,59.4615
-3.7058,40.4203
113.9174,0.1097
82.7948,21.7866
72.8826,19.0728
82.7948,21.7866
151.207,-33.8671
82.7948,21.7866
103.8277,1.3656
-3.7058,40.4203
8.4445,46.813
-78.0958,-1.7899
-78.0958,-1.7899
-47.9287,-15.7785
82.7948,21.7866
103.8277,1.3656
-3.7058,40.4203
8.4445,46.813
-78.0958,-1.7899
-78.0958,-1.7899
-47.9287,-15.7785
-3.7058,40.4203
21.8456,39.0724
-99.1329,19.4319
-66.8983,10.496
8.4445,46.813
-47.9287,-15.7785
-98.309,56.9547
105.8048,21.0285
-66.4289,18.2233
113.9174,0.1097
113.9174,0.1097
-98.309,56.9547
133.3931,-24.9162
103.8277,1.3656
-47.9287,-15.7785
-99.1329,19.4319
-58.3735,-34.6085
105.8048,21.0285
-66.4289,18.2233
-47.9287,-15.7785
-3.7058,40.4203
-99.1329,19.4319
21.8456,39.0724
-66.8983,10.496
-0.1271,51.5063
-70.6479,-33.463
82.7948,21.7866
-69.9405,18.4867
4.4768,50.501
-58.3735,-34.6085
-74.1178,4.6564
12.4958,41.9031
37.9039,-0.0244
17.5514,62.1984
-77.0212,-12.0436
-78.0958,-1.7899
-77.029,38.8991
-98.309,56.9547
-90.5249,14.618
108.8318,59.4615
19.1343,51.9189
12.6654,64.5565
-8.2406,53.4196
8.6742,9.0846
31.1734,48.3829
2.3412,48.8569
133.3931,-24.9162
113.9174,0.1097
24.677,-28.4832
120.7391,15.5931
-99.1329,19.4319
-0.1271,51.5063
82.7948,21.7866
-74.1178,4.6564
37.9039,-0.0244
-77.029,38.8991
120.7391,15.5931
2.3412,48.8569
120.7391,15.5931
120.7391,15.5931
120.7391,15.5931
133.3931,-24.9162
-98.309,56.9547
-0.1271,51.5063
-3.7058,40.4203
21.8456,39.0724
-99.1329,19.4319
-66.8983,10.496
-70.6479,-33.463
-0.1271,51.5063
82.7948,21.7866
-69.9405,18.4867
4.4768,50.501
-58.3735,-34.6085
-74.1178,4.6564
12.4958,41.9031
37.9039,-0.0244
17.5514,62.1984
-77.0212,-12.0436
-98.309,56.9547
-78.0958,-1.7899
-90.5249,14.618
19.1343,51.9189
12.6654,64.5565
-8.2406,53.4196
8.6742,9.0846
31.1734,48.3829
2.3412,48.8569
120.7391,15.5931
14.7545,47.6965
103.8277,1.3656
105.8048,21.0285
114.4017,3.9451
170.3666,-43.5877
-66.4289,18.2233
-49.2767,-25.44
-44.3365,-2.555
-46.6547,-23.5629
2.17,41.3857
-15.4397,28.1302
-99.1329,19.4319
-0.1271,51.5063
-1.1439,52.9492
7.4583,51.5166
-64.2033,-31.3902
-75.5903,6.2365
2.3412,48.8569
28.04,-26.2049
-77.0212,-12.0436
-78.0958,-1.7899
-77.029,38.8991
133.3931,-24.9162
-66.8983,10.496
133.3931,-24.9162
133.3931,-24.9162
24.677,-28.4832
120.7391,15.5931
72.8826,19.0728
82.7948,21.7866
-77.029,38.8991
-98.309,56.9547
-98.309,56.9547
-98.309,56.9547
-98.309,56.9547
-98.309,56.9547
-98.309,56.9547
-74.1178,4.6564
-98.309,56.9547
-98.309,56.9547
-98.309,56.9547
-98.309,56.9547
-66.4289,18.2233
-47.9287,-15.7785
-3.7058,40.4203
21.8456,39.0724
-99.1329,19.4319
-66.4289,18.2233
-66.8983,10.496
-70.6479,-33.463
-0.1271,51.5063
82.7948,21.7866
-69.9405,18.4867
4.4768,50.501
-58.3735,-34.6085
-74.1178,4.6564
78.4564,17.3841
12.4958,41.9031
37.9039,-0.0244
17.5514,62.1984
-77.0212,-12.0436
-78.0958,-1.7899
-77.029,38.8991
-98.309,56.9547
-90.5249,14.618
108.8318,59.4615
19.1343,51.9189
12.6654,64.5565
-8.2406,53.4196
8.6742,9.0846
31.1734,48.3829
2.3412,48.8569
133.3931,-24.9162
113.9174,0.1097
-77.029,38.8991
24.677,-28.4832
-77.029,38.8991
120.7391,15.5931
-77.029,38.8991
-77.029,38.8991
-3.7058,40.4203
82.7948,21.7866
120.7391,15.5931
72.8826,19.0728
8.4445,46.813
170.3666,-43.5877
170.3666,-43.5877
101.67,3.12482
2.3412,48.8569
2.3412,48.8569
120.7391,15.5931
-99.1329,19.4319
12.6654,64.5565
113.9174,0.1097
113.9174,0.1097
113.9174,0.1097
113.9174,0.1097
72.8826,19.0728
120.7391,15.5931
120.7391,15.5931
-58.3735,-34.6085
-98.309,56.9547
12.6654,64.5565
12.6654,64.5565
12.6654,64.5565
-74.1178,4.6564
120.7391,15.5931
-98.309,56.9547
-73.5878,45.5088
-47.9287,-15.7785
-3.7058,40.4203
-66.8983,10.496
82.7948,21.7866
-58.3735,-34.6085
-58.3735,-34.6085
82.7948,21.7866
82.7948,21.7866
82.7948,21.7866
82.7948,21.7866
